"Timestamp","Name","Email","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Preferred Languages","Preferred Member 1","Preferred Member 2"
"2017/04/19 3:57:13 PM MDT","Jane Doe","janedoe@doe.com","9;11;15","16;17;18;19;20","8;11;13;16","","9;11;12;13","8;9;10;11","11","C/C++;Java","Dave Letterman","Peter Pan"
"2017/04/19 3:57:55 PM MDT","Dave Letterman","lettermanman@man.man","8;9;10;11;12;13;14;15;16;17;18;19;20","","","","","","13;14","Python;Java","Dog Man","James Kirk"
"2017/04/19 3:59:46 PM MDT","Peter Parker","parkermypeter@oops.com","9;15;18","8;10;14","8;9;11;12","","10;12;13;14;15;20","10;11;13","10;13;14","C/C++;Python","Bruce Banner",""
"2017/04/19 4:00:38 PM MDT","Bruce Banner","immabegreen@blueman.orange","10;13;14","","","8;11;13;14;15;16","14;15;16;17;18;19","8;9;10;11;12","8;9;10;11;12","Java","",""
"2017/04/19 4:01:55 PM MDT","Bruce Wayne","bruceawayne@ouch.o","8;9;10;11;12","11;13;14;15;16;17","15;16;17;18;19;20","12;13;14;15;16","8;10;12;13;14;15","10;11;12;13;14","17;18;19;20","Python","Dawg Eatdawg","Dog Man"
"2017/04/19 4:02:56 PM MDT","John Wayne","eyo.eyo@eyo.eyo","8;9;10;15;16;17;18;19","8;15;16;18","8;9;12;16;18;19","","8;18;19;20","8;9;10;11;12","10;11;12;13;15","C/C++;Python;Java","Bruce Banner","Peter Parker"
"2017/04/19 4:03:57 PM MDT","Martha Wayne","martha@martha.martha","8;9;10","","","","","14;15;16;17","8;9;11;13;14;15;16;17","C/C++;Python;Java","Peter Pan","Taylor Swifty"
"2017/04/19 4:05:22 PM MDT","Peter Quill","quillme@quilled.ohyea","12;13;14;15;16;17;18;19;20","8;9;10;11;12;13;14;15;16;17;18;19;20","8;10;11;13;14;15;16;17;18;19","8;14;15;16;17;20","9;10;13;14;16;17;18","10;11;12;13;15;16;17;18","8;9;13;18;19;20","C/C++;Java","Man BearPig","Gengis Khan"
"2017/04/19 4:06:22 PM MDT","Jean-luc Picard","beammeup@scotty.someonomonopea","8;9;10;11;12;13;20","11;12","8;9","","","8;9;10;11;12;13;14;15;16;17;18;19;20","","C/C++;Python;Java","Dave Letterman","Mathhew Johnson"
"2017/04/19 4:07:38 PM MDT","James Kirk","kirkmejames@google.com","8;9;10;11;12;13;14;15;16","8;9;10;11;12;13;14;15;16","8;14;15;16;17;18;19;20","12;13;14;15;16","8;9;10;11;12;13;14","11;12;13;14;15;16;17","15;17;18;19;20","C/C++;Python;Java","Commander Shepard","Dog Man"
"2017/04/20 5:32:55 PM MDT","Peter Pan","pan@peter.com","10;11;12","10;11;12","16;17","","16;17","10;11;12","15;16;17","C/C++","Johnathan Swift","Rick Shwift"
"2017/04/20 5:34:47 PM MDT","Johnathan Swift","","8;9;15;16","8;9","8;9;14;15","8;9;16","10","10;11;12;16;17","15;16","C/C++;Java","Peter Pan","Mathhew Johnson"
"2017/04/20 5:38:37 PM MDT","Cop Robo","","12;13;14","12;13;14;17;18","12;13;14","16;17;18","10;11;12","9;10;11;12;13;14","16;17","C/C++;Java","Mouglie Wile","Taylor Swifty"
"2017/04/20 5:40:06 PM MDT","Mogger Frogger","","10;11;15;16","10;11;14","15;16;17","10;11;12","10;11;12;15","9;17;18","9;10;16;17;18","Python","Taylor Swifty","Vladimer Putina"
"2017/04/20 5:41:34 PM MDT","Taylor Swifty","","8;9;19","19;20","8;9;19","19;20","9;10;11","12","15;16","Python","Cop Robo","Mouglie Wile"
"2017/04/20 5:42:38 PM MDT","Rick Shwift","","10;11;12;15;16;17","","10;11;12;13;15","","10","8;9;18;19","8;9;18;19","C/C++;Java","Peter Pan","Johnathan Swift"
"2017/04/20 5:44:07 PM MDT","Vladimer Putina","","11;12;15","16;17","11;12","16;17;18","10","11;12;13;14;15","10;11;12;13","C/C++;Python","This Ismyname","Diana Troy"
"2017/04/20 5:45:21 PM MDT","Isterrible Rejae","","14;15","10;12;13;17","10;11;15;16;17","11;12;17;18","16;17;18","13;14;15;16","17;18","Python","Peter Quill","James Kirk"
"2017/04/20 5:46:18 PM MDT","Mathew Johnson","","8","8;9","8;9","8","8;9;17","8;9;10;11","8;9;10;11","C/C++;Python;Java","Martha Wayne","Bruce Wayne"
